UserId,Latitude,Longitude,SensorId,Timestamp,Units,SensorType,Radiation
XrayLady,0.04669,-119.738,M_23,2020-04-06 00:00:00,cpm,mobile,13.2792
MySensor,0.16124,-119.861,M_49,2020-04-06 00:00:00,cpm,mobile,41.7819
HSS,0.14529,-119.842,M_13,2020-04-06 00:00:00,cpm,mobile,15.7819
AS-1,0.04437,-119.771,M_28,2020-04-06 00:00:00,cpm,mobile,13.8583
,0.04147,-119.829,S_11,2020-04-06 00:00:00,cpm,static,14.6237
HiMarkHS,0.16936,-119.91,M_18,2020-04-06 00:00:00,cpm,mobile,0
,0.16849,-119.79,S_15,2020-04-06 00:00:00,cpm,static,15.6941
HSS,0.21982,-119.871,M_10,2020-04-06 00:00:00,cpm,mobile,10.5806
MySensor,0.18618,-119.904,M_50,2020-04-06 00:00:00,cpm,mobile,37.1496
,0.15689,-119.959,S_1,2020-04-06 00:00:00,cpm,static,14.6719
CitizenScientist,0.04785,-119.748,M_21,2020-04-06 00:00:00,cpm,mobile,33.6
CitizenScientist,0.14007,-119.83,M_15,2020-04-06 00:00:00,cpm,mobile,15.4889
MySensor,0.20155,-119.855,M_6,2020-04-06 00:00:00,cpm,mobile,16.7056
MySensor,0.18096,-119.876,M_9,2020-04-06 00:00:00,cpm,mobile,10.3109
RichardFox,0.20184,-119.887,M_11,2020-04-06 00:00:00,cpm,mobile,10.4942
TestUnit,0.174,-119.967,M_2,2020-04-06 00:00:00,cpm,mobile,21.8425
CitizenScientist,0.14993,-119.914,M_20,2020-04-06 00:00:00,cpm,mobile,40.548
AlwaysGlowing,0.1218,-119.818,M_42,2020-04-06 00:00:00,cpm,mobile,34.3972
CitizenScientist,0.15283,-119.852,M_36,2020-04-06 00:00:00,cpm,mobile,40.9056
UncleG,0.174,-119.875,M_47,2020-04-06 00:00:00,cpm,mobile,40.866
ProfessorSievert,0.16037,-119.89,M_38,2020-04-06 00:00:00,cpm,mobile,41.2222
MySensor,0.18067,-119.849,M_7,2020-04-06 00:00:00,cpm,mobile,11.5343
TaxiDriver,0.16617,-119.89,M_44,2020-04-06 00:00:00,cpm,mobile,40
RadCurieous,0.08294,-119.732,M_31,2020-04-06 00:00:00,cpm,mobile,15.5931
AS-2,0.06206,-119.749,M_29,2020-04-06 00:00:00,cpm,mobile,13.8514
HiMarkHS,0.08323,-119.789,M_35,2020-04-06 00:00:00,cpm,mobile,30.6917
PeterLovesCrystals54,0.08294,-119.732,M_30,2020-04-06 00:00:00,cpm,mobile,15.6986
CitizenScientist,0.14964,-119.905,M_19,2020-04-06 00:00:00,cpm,mobile,22.6194
,0.15979,-119.807,S_13,2020-04-06 00:00:00,cpm,static,14.5749
CitizenScientist,0.19256,-119.908,M_3,2020-04-06 00:00:00,cpm,mobile,21.2361
,0.1218,-119.904,S_6,2020-04-06 00:00:00,cpm,static,14.7512
HSS,0.04205,-119.761,M_22,2020-04-06 00:00:00,cpm,mobile,20.1681
CitizenScientist,0.06235,-119.831,M_45,2020-04-06 00:00:00,cpm,mobile,39
NeutronsAreFreeOfCharge,0.06177,-119.775,M_48,2020-04-06 00:00:00,cpm,mobile,41.5069
CitizenScientist,0.19111,-119.869,M_5,2020-04-06 00:00:00,cpm,mobile,14.8967
HiMarkHS,0.11745,-119.925,M_17,2020-04-06 00:00:00,cpm,mobile,32.5601
,0.1218,-119.793,S_14,2020-04-06 00:00:00,cpm,static,14.6499
CitizenScientist,0.09715,-119.809,M_33,2020-04-06 00:00:00,cpm,mobile,30.1653
CitizenScientist,0.01711,-119.806,M_27,2020-04-06 00:00:00,cpm,mobile,21.9831
Ckimball,0.17371,-119.86,M_46,2020-04-06 00:00:00,cpm,mobile,39.8351
,0.15109,-119.91,S_4,2020-04-06 00:00:00,cpm,static,14.5317
,0.20764,-119.816,S_12,2020-04-06 00:00:00,cpm,static,14.5939
CitizenScientist,0.02813,-119.841,M_24,2020-04-06 00:00:00,cpm,mobile,23.6903
CitizenScientist,0.12557,-119.88,M_39,2020-04-06 00:00:00,cpm,mobile,40.6847
AS-3,0.13891,-119.842,M_14,2020-04-06 00:00:00,cpm,mobile,15.4625
CitizenScientist,0.19053,-119.842,M_12,2020-04-06 00:00:00,cpm,mobile,17.7483
MySensor,0.18792,-119.967,M_1,2020-04-06 00:00:00,cpm,mobile,28.9786
GermanWrinkler43,0.12441,-119.769,M_32,2020-04-06 00:00:00,cpm,mobile,29.8083
Bob,0.15341,-119.897,M_37,2020-04-06 00:00:00,cpm,mobile,8.15139
CitizenScientist,0.12557,-119.861,M_43,2020-04-06 00:00:00,cpm,mobile,35.0736
,0.18299,-119.856,S_9,2020-04-06 00:00:00,cpm,static,14.5146
MutantX,0.11658,-119.891,M_40,2020-04-06 00:00:00,cpm,mobile,31.6875
ASWillhiem,0.18734,-119.932,M_4,2020-04-06 00:00:00,cpm,mobile,15.1069
CitizenScientist,0.1218,-119.883,M_41,2020-04-06 00:00:00,cpm,mobile,33.1278
MySensor,0.19807,-119.826,M_8,2020-04-06 00:00:00,cpm,mobile,10.1658
CitizenScientist,0.03451,-119.821,M_25,2020-04-06 00:00:00,cpm,mobile,26.5736
CitizenScientist,0.05568,-119.862,M_26,2020-04-06 00:00:00,cpm,mobile,26.8861
CitizenScientist,0.08323,-119.805,M_34,2020-04-06 00:00:00,cpm,mobile,30.0097
CitizenScientist,0.09541,-119.9,M_16,2020-04-06 00:00:00,cpm,mobile,15.7187
MySensor,0.16124,-119.861,M_49,2020-04-06 01:00:00,cpm,mobile,41.1208
,0.16849,-119.79,S_15,2020-04-06 01:00:00,cpm,static,14.4755
XrayLady,0.04669,-119.738,M_23,2020-04-06 01:00:00,cpm,mobile,13.2069
CitizenScientist,0.04785,-119.748,M_21,2020-04-06 01:00:00,cpm,mobile,33.9
HSS,0.21982,-119.871,M_10,2020-04-06 01:00:00,cpm,mobile,10.592
RichardFox,0.20184,-119.887,M_11,2020-04-06 01:00:00,cpm,mobile,11.7651
,0.04147,-119.829,S_11,2020-04-06 01:00:00,cpm,static,14.6149
HSS,0.14529,-119.842,M_13,2020-04-06 01:00:00,cpm,mobile,15.8569
TaxiDriver,0.16617,-119.89,M_44,2020-04-06 01:00:00,cpm,mobile,39.6486
MySensor,0.18618,-119.904,M_50,2020-04-06 01:00:00,cpm,mobile,35.4611
CitizenScientist,0.15283,-119.852,M_36,2020-04-06 01:00:00,cpm,mobile,40.9639
MySensor,0.18096,-119.876,M_9,2020-04-06 01:00:00,cpm,mobile,10.8449
AlwaysGlowing,0.1218,-119.818,M_42,2020-04-06 01:00:00,cpm,mobile,33.5986
CitizenScientist,0.14993,-119.914,M_20,2020-04-06 01:00:00,cpm,mobile,41.8849
HiMarkHS,0.08323,-119.789,M_35,2020-04-06 01:00:00,cpm,mobile,30.7222
CitizenScientist,0.14007,-119.83,M_15,2020-04-06 01:00:00,cpm,mobile,15.5639
CitizenScientist,0.03451,-119.821,M_25,2020-04-06 01:00:00,cpm,mobile,27.2757
Bob,0.15341,-119.897,M_37,2020-04-06 01:00:00,cpm,mobile,8.15278
MySensor,0.19807,-119.826,M_8,2020-04-06 01:00:00,cpm,mobile,10.3498
ASWillhiem,0.18734,-119.932,M_4,2020-04-06 01:00:00,cpm,mobile,15.1861
AS-1,0.04437,-119.771,M_28,2020-04-06 01:00:00,cpm,mobile,13.8583
,0.18299,-119.856,S_9,2020-04-06 01:00:00,cpm,static,14.6236
,0.15689,-119.959,S_1,2020-04-06 01:00:00,cpm,static,14.7012
GermanWrinkler43,0.12441,-119.769,M_32,2020-04-06 01:00:00,cpm,mobile,29.8889
CitizenScientist,0.12557,-119.861,M_43,2020-04-06 01:00:00,cpm,mobile,36.4417
CitizenScientist,0.08323,-119.805,M_34,2020-04-06 01:00:00,cpm,mobile,29.9639
CitizenScientist,0.09541,-119.9,M_16,2020-04-06 01:00:00,cpm,mobile,15.7089
CitizenScientist,0.05568,-119.862,M_26,2020-04-06 01:00:00,cpm,mobile,26.8083
,0.1218,-119.904,S_6,2020-04-06 01:00:00,cpm,static,14.6024
CitizenScientist,0.06235,-119.831,M_45,2020-04-06 01:00:00,cpm,mobile,40.0931
MutantX,0.11658,-119.891,M_40,2020-04-06 01:00:00,cpm,mobile,31.0875
CitizenScientist,0.02813,-119.841,M_24,2020-04-06 01:00:00,cpm,mobile,25.3054
,0.15109,-119.91,S_4,2020-04-06 01:00:00,cpm,static,14.5942
,0.20764,-119.816,S_12,2020-04-06 01:00:00,cpm,static,14.53
CitizenScientist,0.01711,-119.806,M_27,2020-04-06 01:00:00,cpm,mobile,23.5247
AS-3,0.13891,-119.842,M_14,2020-04-06 01:00:00,cpm,mobile,15.625
CitizenScientist,0.1218,-119.883,M_41,2020-04-06 01:00:00,cpm,mobile,32.9486
CitizenScientist,0.19111,-119.869,M_5,2020-04-06 01:00:00,cpm,mobile,15.1081
,0.1218,-119.793,S_14,2020-04-06 01:00:00,cpm,static,14.5649
HiMarkHS,0.11745,-119.925,M_17,2020-04-06 01:00:00,cpm,mobile,32.096
NeutronsAreFreeOfCharge,0.06177,-119.775,M_48,2020-04-06 01:00:00,cpm,mobile,41.3347
CitizenScientist,0.12557,-119.88,M_39,2020-04-06 01:00:00,cpm,mobile,41.0875
MySensor,0.20155,-119.855,M_6,2020-04-06 01:00:00,cpm,mobile,16.7125
Ckimball,0.17371,-119.86,M_46,2020-04-06 01:00:00,cpm,mobile,39.7302
TestUnit,0.174,-119.967,M_2,2020-04-06 01:00:00,cpm,mobile,21.9459
AS-2,0.06206,-119.749,M_29,2020-04-06 01:00:00,cpm,mobile,13.9556
CitizenScientist,0.14964,-119.905,M_19,2020-04-06 01:00:00,cpm,mobile,22.4167
MySensor,0.18067,-119.849,M_7,2020-04-06 01:00:00,cpm,mobile,11.6797
CitizenScientist,0.09715,-119.809,M_33,2020-04-06 01:00:00,cpm,mobile,30.0819
ProfessorSievert,0.16037,-119.89,M_38,2020-04-06 01:00:00,cpm,mobile,41.3597
UncleG,0.174,-119.875,M_47,2020-04-06 01:00:00,cpm,mobile,41.4556
RadCurieous,0.08294,-119.732,M_31,2020-04-06 01:00:00,cpm,mobile,15.8542
HSS,0.04205,-119.761,M_22,2020-04-06 01:00:00,cpm,mobile,20.525
PeterLovesCrystals54,0.08294,-119.732,M_30,2020-04-06 01:00:00,cpm,mobile,16.0097
MySensor,0.18792,-119.967,M_1,2020-04-06 01:00:00,cpm,mobile,32.7994
CitizenScientist,0.19256,-119.908,M_3,2020-04-06 01:00:00,cpm,mobile,22.7903
CitizenScientist,0.19053,-119.842,M_12,2020-04-06 01:00:00,cpm,mobile,17.4572
,0.15979,-119.807,S_13,2020-04-06 01:00:00,cpm,static,14.5948
CitizenScientist,0.1218,-119.883,M_41,2020-04-06 02:00:00,cpm,mobile,33.8181
MutantX,0.11658,-119.891,M_40,2020-04-06 02:00:00,cpm,mobile,31.7236
CitizenScientist,0.06235,-119.831,M_45,2020-04-06 02:00:00,cpm,mobile,39.1875
,0.15109,-119.91,S_4,2020-04-06 02:00:00,cpm,static,14.6247
CitizenScientist,0.12557,-119.88,M_39,2020-04-06 02:00:00,cpm,mobile,41.3764
NeutronsAreFreeOfCharge,0.06177,-119.775,M_48,2020-04-06 02:00:00,cpm,mobile,42.8052
GermanWrinkler43,0.12441,-119.769,M_32,2020-04-06 02:00:00,cpm,mobile,30.0819
CitizenScientist,0.19111,-119.869,M_5,2020-04-06 02:00:00,cpm,mobile,15.3837
CitizenScientist,0.01711,-119.806,M_27,2020-04-06 02:00:00,cpm,mobile,22.6261
HiMarkHS,0.11745,-119.925,M_17,2020-04-06 02:00:00,cpm,mobile,32.0285
,0.18299,-119.856,S_9,2020-04-06 02:00:00,cpm,static,14.6933
,0.1218,-119.793,S_14,2020-04-06 02:00:00,cpm,static,14.6214
Bob,0.15341,-119.897,M_37,2020-04-06 02:00:00,cpm,mobile,8.40833
MySensor,0.16124,-119.861,M_49,2020-04-06 02:00:00,cpm,mobile,41.2472
CitizenScientist,0.03451,-119.821,M_25,2020-04-06 02:00:00,cpm,mobile,26.4431
ASWillhiem,0.18734,-119.932,M_4,2020-04-06 02:00:00,cpm,mobile,15.2847
CitizenScientist,0.08323,-119.805,M_34,2020-04-06 02:00:00,cpm,mobile,31.5795
CitizenScientist,0.14007,-119.83,M_15,2020-04-06 02:00:00,cpm,mobile,15.4278
CitizenScientist,0.14993,-119.914,M_20,2020-04-06 02:00:00,cpm,mobile,41.618
CitizenScientist,0.04785,-119.748,M_21,2020-04-06 02:00:00,cpm,mobile,33.85
,0.16849,-119.79,S_15,2020-04-06 02:00:00,cpm,static,14.61
CitizenScientist,0.09541,-119.9,M_16,2020-04-06 02:00:00,cpm,mobile,15.6085
MySensor,0.19807,-119.826,M_8,2020-04-06 02:00:00,cpm,mobile,10.0818
MySensor,0.18618,-119.904,M_50,2020-04-06 02:00:00,cpm,mobile,36.0292
CitizenScientist,0.05568,-119.862,M_26,2020-04-06 02:00:00,cpm,mobile,27.2861
CitizenScientist,0.12557,-119.861,M_43,2020-04-06 02:00:00,cpm,mobile,35.8764
AS-1,0.04437,-119.771,M_28,2020-04-06 02:00:00,cpm,mobile,13.8639
AlwaysGlowing,0.1218,-119.818,M_42,2020-04-06 02:00:00,cpm,mobile,32.9264
MySensor,0.18067,-119.849,M_7,2020-04-06 02:00:00,cpm,mobile,11.6174
TaxiDriver,0.16617,-119.89,M_44,2020-04-06 02:00:00,cpm,mobile,39.5042
,0.04147,-119.829,S_11,2020-04-06 02:00:00,cpm,static,14.5694
HSS,0.21982,-119.871,M_10,2020-04-06 02:00:00,cpm,mobile,10.6491
ProfessorSievert,0.16037,-119.89,M_38,2020-04-06 02:00:00,cpm,mobile,41.4403
HiMarkHS,0.08323,-119.789,M_35,2020-04-06 02:00:00,cpm,mobile,30.7611
RichardFox,0.20184,-119.887,M_11,2020-04-06 02:00:00,cpm,mobile,10.3855
MySensor,0.18096,-119.876,M_9,2020-04-06 02:00:00,cpm,mobile,10.7462
CitizenScientist,0.15283,-119.852,M_36,2020-04-06 02:00:00,cpm,mobile,41.0736
,0.15979,-119.807,S_13,2020-04-06 02:00:00,cpm,static,14.7263
XrayLady,0.04669,-119.738,M_23,2020-04-06 02:00:00,cpm,mobile,13.1458
CitizenScientist,0.19256,-119.908,M_3,2020-04-06 02:00:00,cpm,mobile,21.3083
MySensor,0.18792,-119.967,M_1,2020-04-06 02:00:00,cpm,mobile,30.5566
UncleG,0.174,-119.875,M_47,2020-04-06 02:00:00,cpm,mobile,40.2867
HSS,0.14529,-119.842,M_13,2020-04-06 02:00:00,cpm,mobile,16.2292
MySensor,0.20155,-119.855,M_6,2020-04-06 02:00:00,cpm,mobile,17.4349
CitizenScientist,0.14964,-119.905,M_19,2020-04-06 02:00:00,cpm,mobile,23.9078
CitizenScientist,0.09715,-119.809,M_33,2020-04-06 02:00:00,cpm,mobile,30.0958
PeterLovesCrystals54,0.08294,-119.732,M_30,2020-04-06 02:00:00,cpm,mobile,15.8333
,0.20764,-119.816,S_12,2020-04-06 02:00:00,cpm,static,14.6819
AS-2,0.06206,-119.749,M_29,2020-04-06 02:00:00,cpm,mobile,13.9819
Ckimball,0.17371,-119.86,M_46,2020-04-06 02:00:00,cpm,mobile,39.8196
RadCurieous,0.08294,-119.732,M_31,2020-04-06 02:00:00,cpm,mobile,15.7847
CitizenScientist,0.02813,-119.841,M_24,2020-04-06 02:00:00,cpm,mobile,23.8875
AS-3,0.13891,-119.842,M_14,2020-04-06 02:00:00,cpm,mobile,15.7389
HSS,0.04205,-119.761,M_22,2020-04-06 02:00:00,cpm,mobile,20.3569
,0.1218,-119.904,S_6,2020-04-06 02:00:00,cpm,static,14.5308
TestUnit,0.174,-119.967,M_2,2020-04-06 02:00:00,cpm,mobile,21.9132
CitizenScientist,0.19053,-119.842,M_12,2020-04-06 02:00:00,cpm,mobile,17.102
,0.15689,-119.959,S_1,2020-04-06 02:00:00,cpm,static,14.4899
MutantX,0.11658,-119.891,M_40,2020-04-06 03:00:00,cpm,mobile,31.8917
CitizenScientist,0.12557,-119.88,M_39,2020-04-06 03:00:00,cpm,mobile,41.1639
CitizenScientist,0.05568,-119.862,M_26,2020-04-06 03:00:00,cpm,mobile,27.1833
CitizenScientist,0.1218,-119.883,M_41,2020-04-06 03:00:00,cpm,mobile,32.3875
MySensor,0.19807,-119.826,M_8,2020-04-06 03:00:00,cpm,mobile,10.2068
CitizenScientist,0.08323,-119.805,M_34,2020-04-06 03:00:00,cpm,mobile,30.0819
MySensor,0.20155,-119.855,M_6,2020-04-06 03:00:00,cpm,mobile,16.1361
,0.1218,-119.793,S_14,2020-04-06 03:00:00,cpm,static,14.561
,0.18299,-119.856,S_9,2020-04-06 03:00:00,cpm,static,14.5625
CitizenScientist,0.12557,-119.861,M_43,2020-04-06 03:00:00,cpm,mobile,33.8264
GermanWrinkler43,0.12441,-119.769,M_32,2020-04-06 03:00:00,cpm,mobile,29.925
MySensor,0.18792,-119.967,M_1,2020-04-06 03:00:00,cpm,mobile,31.1399
CitizenScientist,0.19111,-119.869,M_5,2020-04-06 03:00:00,cpm,mobile,15.0413
NeutronsAreFreeOfCharge,0.06177,-119.775,M_48,2020-04-06 03:00:00,cpm,mobile,41.2625
CitizenScientist,0.19053,-119.842,M_12,2020-04-06 03:00:00,cpm,mobile,17.6284
AS-3,0.13891,-119.842,M_14,2020-04-06 03:00:00,cpm,mobile,15.5597
Ckimball,0.17371,-119.86,M_46,2020-04-06 03:00:00,cpm,mobile,39.4983
HSS,0.04205,-119.761,M_22,2020-04-06 03:00:00,cpm,mobile,20.3736
,0.20764,-119.816,S_12,2020-04-06 03:00:00,cpm,static,14.6099
CitizenScientist,0.14964,-119.905,M_19,2020-04-06 03:00:00,cpm,mobile,24.7245
,0.15109,-119.91,S_4,2020-04-06 03:00:00,cpm,static,14.6288
CitizenScientist,0.02813,-119.841,M_24,2020-04-06 03:00:00,cpm,mobile,24.15
CitizenScientist,0.01711,-119.806,M_27,2020-04-06 03:00:00,cpm,mobile,22.5039
CitizenScientist,0.09715,-119.809,M_33,2020-04-06 03:00:00,cpm,mobile,30.0861
